"","logFC","logCPM","LR","PValue","FDR"
"FBgn0039089:beat-IV",-9.41143927113891,14.4627364239748,4413.55698279066,0,0
"FBgn0283468:slmb",-9.41143927113891,14.4639855110758,4413.55698278577,0,0
"FBgn0037723:SpdS",-9.41143927113891,14.4615666401186,4413.55698276606,0,0
"FBgn0038890:sp3",-9.41143927113891,14.4597123965137,4413.55698276868,0,0
"FBgn0038402:Fer2",-9.41143927113891,14.4608811743129,4413.55698277202,0,0
"FBgn0039858:CycG",-9.41143927113891,14.4879885052887,4413.55698301708,0,0
"FBgn0288631:Yif1",-9.41143927113891,14.4597200447265,4413.55698276386,0,0
"FBgn0037608:mRpL19",-9.41143927113891,14.4616131056117,4413.55698280128,0,0
"FBgn0038046:CG5641",-9.41143927113891,14.4628938782297,4413.55698277373,0,0
"FBgn0039402:Vps2",-9.41143927113891,14.4614965161166,4413.55698276584,0,0
"FBgn0037715:CG9399",-9.41143927113891,14.4640037073579,4413.5569829183,0,0
"FBgn0010399:Nmdar1",-9.41143927113891,14.4605671476387,4413.556982767,0,0
"FBgn0263490:mld",-9.41143927113891,14.4614320998167,4413.55698278203,0,0
"FBgn0038360:CG9590",-9.41143927113891,14.4605947227278,4413.55698276452,0,0
"FBgn0051352:Unc-115a",-9.41143927113891,14.4595523269715,4413.55698277063,0,0
"FBgn0037262:MED31",-9.41143927113891,14.4635370719483,4413.55698277002,0,0
"FBgn0039282:Bili",-9.41143927113891,14.4618019179575,4413.55698277526,0,0
"FBgn0266668:Exo84",-9.41143927113891,14.4598782375534,4413.55698276911,0,0
"FBgn0082582:tmod",-9.41143927113891,14.4632895642502,4413.55698276811,0,0
"FBgn0259152:Clbn",-9.41143927113891,14.4602797270395,4413.55698276404,0,0
"FBgn0037911:CG10898",-9.41143927113891,14.4599434501143,4413.55698276878,0,0
"FBgn0051051:CG31051",-9.41143927113891,14.4653024819543,4413.55698281612,0,0
"FBgn0037754:CG8500",-9.41143927113891,14.4630756548376,4413.55698279083,0,0
"FBgn0038462:EMC2A",-9.41143927113891,14.4596834464622,4413.55698276394,0,0
"FBgn0044511:mRpS21",-9.41143927113891,14.4641016695297,4413.55698276723,0,0
"FBgn0037504:CG1142",-9.41143927113891,14.4630108967923,4413.55698276609,0,0
"FBgn0037963:Cad87A",-9.41143927113891,14.4618405754972,4413.55698276628,0,0
"FBgn0040227:eIF3d1",-9.41143927113891,14.4599563148427,4413.55698277392,0,0
"FBgn0037688:CG9356",-9.41143927113891,14.4594260092667,4413.556982772,0,0
"FBgn0038515:CG5823",-9.41143927113891,14.4634878034119,4413.55698277204,0,0
"FBgn0010803:TrpRS",-9.41143927113891,14.4605155403026,4413.55698276467,0,0
"FBgn0039723:CG15522",-9.41143927113891,14.4619242618019,4413.55698276535,0,0
"FBgn0038868:CG5862",-9.41143927113891,14.4606456685487,4413.55698277804,0,0
"FBgn0051158:Efa6",-9.41143927113891,14.4631763019268,4413.5569828152,0,0
"FBgn0039600:Prp39",-9.41143927113891,14.4638038421298,4413.55698276727,0,0
"FBgn0262473:Tl",-9.41143927113891,14.4666168244666,4413.55698276235,0,0
"FBgn0083984:CG34148",-9.41143927113891,14.4600788687686,4413.55698276778,0,0
"FBgn0004885:tok",-9.41143927113891,14.4604640044051,4413.55698277621,0,0
"FBgn0051390:MED7",-9.41143927113891,14.4606736593545,4413.55698277023,0,0
"FBgn0038948:JMJD6",-9.41143927113891,14.4595466162379,4413.55698276679,0,0
"FBgn0037270:eIF3f1",-9.41143927113891,14.4661610764095,4413.55698278476,0,0
"FBgn0037251:CG9804",-9.41143927113891,14.4605686332921,4413.55698276791,0,0
"FBgn0037719:bocks",-9.41143927113891,14.4594163004913,4413.55698276875,0,0
"FBgn0016685:Nlp",-9.41143927113891,14.4604868984893,4413.55698276736,0,0
"FBgn0028692:Rpn2",-9.41143927113891,14.4594878664752,4413.55698276857,0,0
"FBgn0039240:CG3744",-9.41143927113891,14.4601421150507,4413.55698277428,0,0
"FBgn0039790:CG2246",-9.41143927113891,14.4661340993683,4413.55698278477,0,0
"FBgn0038043:CG17202",-9.41143927113891,14.4660881688838,4413.55698278643,0,0
"FBgn0087012:5-HT2A",-9.41143927113891,14.461683788107,4413.55698277049,0,0
"FBgn0039555:mRpS22",-9.41143927113891,14.4605572257132,4413.55698277307,0,0
"FBgn0051119:HDAC11",-9.41143927113891,14.4604554145676,4413.5569827643,0,0
"FBgn0037625:CG11768",-9.41143927113891,14.4606623144406,4413.55698276506,0,0
"FBgn0046214:vig2",-9.41143927113891,14.4628548604939,4413.55698277006,0,0
"FBgn0037467:Ufl1",-9.41143927113891,14.4596147715248,4413.55698276843,0,0
"FBgn0261789:SmD2",-9.41143927113891,14.4646987377036,4413.55698276751,0,0
"FBgn0051098:CG31098",-9.41143927113891,14.4598161373404,4413.55698277016,0,0
"FBgn0029503:mora",-9.41143927113891,14.4613302949331,4413.55698276666,0,0
"FBgn0027866:CG9776",-9.41143927113891,14.4610450461879,4413.55698276508,0,0
"FBgn0039835:mRpL32",-9.41143927113891,14.4604930571252,4413.55698276655,0,0
"FBgn0037609:Unc50",-9.41143927113891,14.4598779511721,4413.55698276439,0,0
