"Gene","PValue","logFC"
"FBgn0038542:TyrR",1,-9.65249311449712
"RR42085_transposable_element:Doc{}RR42085",1,-16.6096404744368
"FBgn0039592:CG14062",1,-16.6096404744368
"FBgn0038067:CG11598",1,-16.6096404744368
"FBgn0053534:tRNA:Ala-AGC-2-4",1,-16.6096404744368
"FBgn0039602:CG1647",1,-9.65249311449712
"FBgn0264897:CG44088",1,-16.6096404744368
"FBgn0038565:CG7794",1,-16.6096404744368
"FBgn0039331:ND-49L",1,-16.6096404744368
"FBgn0065070:snoRNA:291",1,-16.6096404744368
"FBti0063896:INE-1{}5835",1,-16.6096404744368
"FBgn0019972:Drice",1,-11.2144187970452
"FBgn0046873:Pif2",1,-16.6096404744368
"FBgn0038756:CG4783",1,-16.6096404744368
"FBgn0039627:CG11837",1,-9.65249311449712
"FBti0019428:Doc{}1418",1,-16.6096404744368
"FBti0063768:INE-1{}5707",1,-16.6096404744368
"FBgn0039436:TwdlB",1,-16.6096404744368
"FBgn0051092:LpR2",0.633086843421994,-7.78649307004617
"FBgn0039089:beat-IV",1,-7.15958648893902
"FBgn0064119:CG33934",1,-16.6096404744368
"FBtr0472816_df_nrg:FBtr0472816_df_nrg",1,-16.6096404744368
"FBgn0250820:meigo",1,-9.65249311449712
"FBti0019461:roo{}1458",1,-16.6096404744368
"FBgn0284229:CG46313",1,-16.6096404744368
"FBgn0267730:lncRNA:CR46061",1,-16.6096404744368
"FBgn0038886:Ugt49B2",1,-16.6096404744368
"FBti0059721:Dm88{}1660",1,-16.6096404744368
"FBgn0038243:CG8066",1,-11.2144187970452
"FBgn0283468:slmb",1,-6.92543066547546
"FBgn0038598:CG7131",1,-16.6096404744368
"FBgn0038407:CG6126",1,-16.6096404744368
"FBgn0038627:CG7694",1,-9.24036125502743
"FBgn0263834:CR43696",1,-16.6096404744368
"FBgn0027654:jdp",0.00291890599902481,-1.36185575726009
"FBgn0037236:Skp2",1,-16.6096404744368
"FBgn0003890:betaTub97EF",1,-10.2316618330772
"FBgn0000463:Dl",1,-16.6096404744368
"FBti0020328:Stalker{}1277",1,-16.6096404744368
"FBgn0039761:CG18404",1,-16.6096404744368
"FBgn0051415:CG31415",1,-16.6096404744368
"FBti0019330:1360{}1258",1,-16.6096404744368
"FBti0063263:I{}5202",1,-16.6096404744368
"FBti0019447:mdg1{}1442",1,-16.6096404744368
"FBgn0037970:GC2",1,-16.6096404744368
"FBgn0267156:lncRNA:CR45596",1,-16.6096404744368
"FBgn0266244:lncRNA:CR44939",1,-16.6096404744368
"FBgn0267765:asRNA:CR46096",1,-16.6096404744368
"FBgn0051463:CG31463",1,-16.6096404744368
"FBgn0051077:CG31077",1,-16.6096404744368
"FBgn0037723:SpdS",1,-7.54597509110777
"FBgn0028374:Hug",1,-6.29378483848943
"FBgn0004622:TkR99D",1,-11.2144187970452
"FBgn0263651:lncRNA:CR43642",1,-16.6096404744368
"FBtr0304496_df_nrg:FBtr0304496_df_nrg",1,-16.6096404744368
"FBgn0287463:asRNA:CR46452",1,-16.6096404744368
"FBti0059724:Dm88{}1663",1,-16.6096404744368
"FBgn0053207:pxb",1,-9.65249311449712
"FBgn0038890:sp3",1,-8.65831025799077
"FBtr0472711_df_nrg:FBtr0472711_df_nrg",1,-16.6096404744368
"FBgn0010770:ppan",1,-9.65249311449712
"FBgn0046763:peg",1,-10.2316618330772
"FBgn0267154:lncRNA:CR45594",1,-16.6096404744368
"FBgn0038465:Irc",1,-10.2316618330772
"FBgn0038402:Fer2",1,-8.07529202913998
"FBgn0266744:lncRNA:CR45217",1,-16.6096404744368
"FBgn0275433:lncRNA:CR46265",1,-16.6096404744368
"FBgn0261108:Atg13",1,-9.65249311449712
